user_id,num_levels_completed,returns,total_time_played,active_time,abtest_value
0C86RewvzXqyXFIfEQZisJLlfqGVehwU2WjiUo4i,12,0,450,450,1
0CtKS3P54lrYR6kESYPQV3JrSvD57E3iRCusStXz,4,0,180,180,1
0DWxA5AiwtpxVnHNjVrS8h7wPZlxEirWj60yjkv2,0,0,30,30,1
0kiKjTBaZKd8NWNeHtoeyKMI3dbB62ydZtqRVq5T,4,0,180,180,1
0kMBwx6uYEfhb1ZLZYVSGRfyuhmj7HUIstFcQEJR,1,0,90,90,2
0KqN1eglChh2nUOPur0URfEt6CUbHKDKmCTjVFxa,0,0,0,0,2
0Vm3AUM34LNheyzztWvKowreFlHmu4QdUO7YvNHJ,1,0,90,90,2
12RaHPGaDaflrh7n5WXVgQ7CPXR3734o8LeU3bAr,4,0,180,180,2
14J4vTfkefVDQuJrlu6XMwZUZvsGgeau4giDGUot,5,0,210,210,2
1cRk7leU7NIlQgIi66HGJmEzweJfDoyGnDD4Ejj8,1,0,60,60,1
1hL7VD0sXzzz6NeiqkipVDzHzRe75m15bdRkFxL5,1,4,30,30,1
1HQWCZqd0cuXD0Mr7ZVZPC2XPXTuZmmvcKudIIN1,4,0,210,210,1
1lt2JjSBQMxLN8uB8BTdaCNLccwW4orRcEzJJiHH,39,0,2160,2160,2
1mNzXbUuEZEcyXfkZCaQIrvf8EOMvJK8hZbS2aoQ,1,0,30,30,1
1NmYXxVFCFQ4IygtOHp3HPzT2I3Ve6idtqMgJI5F,1,0,60,60,2
1QAOb4gdgPTaZANovQwtNREUxuOzGpk1nrZstFmv,3,0,90,90,1
1QOqNHPM1tBR3QRtlq84Zr3nLZxlXf6uwDeao3p0,0,0,30,30,2
1tFGbt3MdzkKOuduRAO7g0uRuFNLWGIdhHjAYaj5,1,2,30,30,1
22FDnHnsVNiAM63W0MmlqHllDqqNI1RyXo6UOlWZ,3,0,150,150,2
2F7IPMGbuf3zYUj6sN66BnmdgmcWJYn1uUniBCXU,2,0,90,90,1
2I2AFs3YBcrOSONAAjFOJ7Bo0jRiFYZJWBjV0uoU,43,2,11880,5820,2
2o3fbhZNxfHdXBWfVuhyMMoobjjcdWYhFHr36bkP,1,0,90,90,2
2sl8fRxFYPCwI8ZjI5FdgmqzK4i48FKVCxDrFc6A,8,0,29010,810,1
2sQoz5eVTV5UQnJKBdsyUuS1MdnvLRId6o0mDsha,5,0,390,360,2
2vCNBLtZphwb1uPYSffLbgJ7VfCF4iyJxYnbF10G,4,0,600,240,2
2WbGiMSGTv3Cx7b2HQuYrSAgr3oFKSrBihGzdrgq,5,0,2010,1440,2
2y5ZbWzJz6G8nu15piuIHFvsUk06mlh3tp2JpOiW,0,0,0,0,1
3aR55xr5cC10wJNKdS4CQohPNjZmQgREjc2vfruy,1,0,150,150,1
3aVLpX8gpPdFggml2W50Lzoeq6mByyEgepv5s15U,1,0,150,120,2
3BztAPW1XjAie5Qq45LXG1SSOm5TH6PQlWrDT6p0,6,2,840,510,1
3HHoXhbkkoZCWQrYi47ndPfJiWItJhIQ2uIAVRKm,5,0,570,390,1
3nekZMjCF5QbZwoG8xxYCIyXPndshhyTNbPvXUau,1,0,60,60,2
3R5J5q3iD7nrOoTym5MOns2JtCANPdaAY7QWnvxK,3,0,120,120,1
3R7IyzMVbqO8g6RHp4AiVpKV35k6i5cBJsLc5J5K,1,0,30,30,1
3sB2hLsU8Ql6JOWCUgR2OwFsMvn3bmmnnSfCQukp,7,0,300,300,1
3sckCLcCVRxHQFkWiSGidrx2F8dmqFEJaOZaZH8N,6,0,300,300,1
408ccORXiiSHGS7B8wjk6tTjiFAMpmLxVl8JAYX7,11,0,570,570,1
4ANjJ2e1zM7df3DpbnlztilxafE4lEWUGbLT0d1x,0,6,0,0,2
4cWNSiEPzVAfgaSlCbwGJ4TlBAcLw3J2B5PG5ORK,1,0,60,60,1
4EOKCh4uOW4q6GH2qpcRSxjmyTKZwyAkXBWC60HY,11,0,1170,1080,1
4fdndOLpdumqEfAgdQvg4dZwJLoCmIoTvcVspVeZ,3,0,1050,300,1
4fv5BuLsJV2E8M5UffzvsgIWEe74wLstzdsxw1MH,0,0,30,30,1
4gA8oKFFhlYfMA1N5livWz1hDj0VyKOzPKJhqwb8,4,0,120,120,2
4ge1omjcBLxpbKSByC1NI0Xhws5gFb1fshjCJ08v,6,0,360,360,2
4HEYbxRN1z3MfWHAnXznI4qBCuDzKPcuUxhfm0FT,10,0,960,960,2
4HkbxU8UPvptklZ67UgMhrkiHW53KFT4UjaaPC4C,1,0,60,60,2
4jE1OjcAuUqhsJ4NEKZztvXaBpQnDWSGE70TMaah,1,0,150,120,1
4JO2J5daVDZwPsStZ6iDXCejWciPrPjYvlacojVR,0,0,0,0,2
4QG4dlgcXlgg085genhop7S0ckYMjatWrcChvD5f,3,0,10830,270,2
4S6evtKX8YBRsbT4h66XTzK2SuqTcBARJWdBeoCY,3,0,180,180,1
4TVV2clC5JnJ0VMLeZoEUbdZ7kZTVVMijYEQJGFe,1,0,60,60,1
4UygQNHTvjrgFG2naRzUeUmACrCdi3MzUHMgPM1h,8,0,990,930,2
51JObyqBtu8e5sood6dEtwGvXpZXlZlDjzLEFifN,4,0,240,240,1
51zNt2bPmCoyBaA5nd4c18B45XDk1BwuynWVOuDE,0,0,30,30,1
57b6RlX7UOzIAwn2iPM5oJ2mjSCcBuAEO7V0a4YW,1,0,30,30,1
5bpxHKY0Ov5APJaF88Hr0X7DWwtjYrIrONOnQzSj,0,0,30,30,2
5Cc7c5xyf2BNqxMAn1RSb1XuWyh0sh3QapE2bGjb,4,0,150,150,2
5FAfZr5bofBZTFYTcr3aA7Rfvhny5ydEmm5WcuVP,2,0,90,90,2
5FwcEqIo67y4TkDWNPa0VUh0n2gqZF1GadUUTdGN,5,0,120,120,2
5Hs1i4ax1GCvXrDeW6pCQNWbbsRV7LIjyhU2MSAk,0,0,30,30,2
5jZpvqa8PidIPgQl8j58ZzZeJbGvieRtFCm0Qguq,6,0,180,180,1
5rL4QonkocmmFjJZEEOUDV0XT3yqYEf3BbC3xHSE,0,0,30,30,2
5scRYklV025mJp1Cdu0d3zRoteHrc2s32ozYlVcU,1,0,90,90,1
5X2jBIYGWliwaFRGZOVWIlIChKq7n0qpi35sv1M4,1,0,30,30,2
5XcfmJvLnBnEJFc076AKQ0Sy2MvEptfTCvpeXIFQ,3,0,150,150,1
5Xpe0zxK7lbCzhidMgyaljEMT8Yy4ZnEyGc7tRna,1,0,60,60,1
60lGyypFYpHLjEMhh3q8OYuLFZPyly1xG4DKFHSZ,7,0,1560,1230,1
6EOqDws6rnofbx2CA67MiW5ZIxe4BbrtdyCFDeAQ,1,0,60,60,2
