user_id,num_levels_completed,returns,total_time_played,active_time,abtest_value
0EB5krYPpwvZS4Tg1tsSRE0ZKOqS36k8FVYuFZPS,0,0,0,0,-1
0hJ8m1w7cv42ZLXo4dBFejKmKqaTdZ3EPCmyr2Uy,1,2,120,120,-1
12j1mIgJdjQXJmSZwPh34r6Ja2ZFKjE4npOIbFLB,1,0,60,60,-1
1j6bdxDiC0On2kM8BiNGLiXnwxSpPdBFzfLlhsRm,11,4,780,780,-1
1JxFdRRHA53LGtYQXiTSiy2tX8M5mQKdGoZzDyod,5,1,330,330,-1
1Lr6MPnDHbPaGTe7TLubKoDcWwEtZWFqWjk2JAyd,0,0,30,30,-1
1Rxaf36RgKFVTGd56sj5UKoXXXLsJIOpqETQrODx,0,0,0,0,-1
1vO2VxKXcQQTHmwpVZ5hx5h1GExvJMVsHsz82Pbk,1,2,360,330,-1
233K6lelfaOqQP2PPZTZ2JmM8wnsfvegtqvjdrvn,2,0,120,120,-1
25T6lwA5IYgqJOIgnVKi455ThKh7wUGMD1YGcHF1,0,0,30,30,-1
2ePIoaVRV4YdYhsw2YP0IJ3nXe5B7RDNqJvIGIL5,0,0,0,0,-1
2LflGYxHe2iod3XdK1aMZYggofHrgCoTIeFrZPba,11,2,570,570,-1
2NNvyIhrpbhleWStyZQUaWi1CKJieoqj1Ju6hx34,0,0,0,0,-1
2tRM3tyNGzMQvvvG3anOH4mKcgpwCS4KhIc0BlSN,0,0,60,60,-1
3f8lKSCfm45CXy4mcOFoE7WW7vJ7ZXUBlLwCCgdl,19,18,5850,1620,-1
4KJJ1NVjRQjvEdPRyywtxaSVfYbxb7oeXAZ1OrSE,1,4,60,60,-1
4NzHqmncZmc600pH0aX4lV5INToxAhi4m3NvuBoH,1,1,150,150,-1
5jDnpbaL27I8cFvnB4TQvRUsgvCJ3THHpfVEuFGe,0,0,60,60,-1
5Nn5JMLHMlDTmoFgynT1yuxb2fdkPvEc6n7ge353,0,0,90,90,-1
5nSP48CvbeAE3c6bCAF4N5VsH2JJvXPA2Dh4dFmK,0,0,0,0,-1
6ckTrOgc418GARfrnVbWAb5xsY3jiFsHSfCRlPvd,0,0,90,90,-1
6hY4qzmQSDNBAf8XQ4Ez2qhGFLSkUNoTKDPDYI1c,2,1,150,150,-1
6itIN4oGszOxFdGCbRRV4IQsJ7ylqlDCRcwnKRNu,1,1,90,90,-1
771nBY4eKEwi00QDy2VK6nQeWeiJ8hXNu2cTnS8A,4,2,390,300,-1
7oMFwIRK66zCcCQ20uVjMxlwpx5r6VaxjG1jK6BF,5,2,240,240,-1
7St8SpgYYRiMYSkWjkAZrEs45urt1xkcEkoaLrWm,2,0,90,90,-1
7vVlVFLUPwCibIhoLkShziWDiUy4w3FEmSXM2B58,0,0,60,60,-1
7zU3X0XDhOO7Kr0kKPjenjYbauoGNFodyuUKyp2h,0,1,60,60,-1
aH0jlz3GbHgpPtb8vPVgLKuRbTfokDQsBg3QeMQi,0,0,0,0,-1
axh57IytJMPBG7FSNWQCzmitmOL8LYNZlw6RTapI,1,1,300,300,-1
azhxGDalwhKGMDnuuQCuSPjItSOU5aJNzWXKyICz,0,0,30,30,-1
bqOHTJtBADORr2vApGYmarrLMrQUodJgAW0mflHf,8,0,1170,510,-1
BZnjhHaWOKX3OsDqeMzZ6jqvgdWWDHo3nDJQZc7U,0,1,30,30,-1
bZwLeObVzudj2MjGNfw2NH20gZv7FqnhaxHGuuGg,0,0,30,30,-1
CEIsWSQpLPlOsD0YC7tYfQUY0xoUmEfqvHyReP1p,0,0,240,240,-1
CepucX2W705ZbrYyixcG68ekD6cW8wLSbu2xrFLO,0,0,30,30,-1
cER8gnzAnisgSbdvYkpRIckJ3D0RegqdioXeGFRk,6,3,360,360,-1
cXeR4LvZ1GcMphOpHYcvEpwUZvvJ6roPz3uNNhSG,0,0,60,60,-1
cYMU58I8Jfuu6dElXsPbXJHYotPanhg71SUO7FfL,0,0,30,30,-1
d2h44xOmrNfuIQjaUS7OLXwIaLpkx2lzKvKhCZbX,1,1,90,90,-1
DSROO8Fabre8bdYoFku3Z4vxrGkEWDJyaTV6bLsH,0,0,0,0,-1
dtYWjC3YuyyMR2BNsMQEJQCdMkvabQUzA34PVsFF,1,0,60,60,-1
dYwI1C6uFe7AxLXgLtCVYjMGTsSRDCfNQmfjt8Qu,9,0,360,330,-1
dzbKbmgd3hLqVh74WSXATia3tnyhUhazFg7OiHLZ,0,0,0,0,-1
e6nzUwNKklaYwfVV0CWArks3PajF3pfsZVAE4Yc8,10,0,540,540,-1
e7yXeuVo7hInCfWyxpXtg3XynVbBpRQEZpBdTxB1,0,1,0,0,-1
eRdCCz4JkgTGbTRma5jsvhjZQGGkFQs0dZrdn3jc,0,0,30,30,-1
EYJgC0Pn5hqrHB0KS8cVnENIIwZbpY4Qvi2ASJne,0,0,30,30,-1
EySoh7qbnfgFug3VHviaPlsYLVKOQClje30sesBQ,2,1,270,270,-1
F4UY5UrKrKjbE3SPdwhwX8Bi7UWMABf2D3571vtB,0,0,90,90,-1
FdsnjNVEebVdI3WLWeVuEsnsFKexL7llN4fLG1D2,1,2,270,270,-1
FJvTmECqVHv1K67efF3qDvDF41PsIvv6CfQSFYkW,1,0,90,90,-1
FkLrQYMLBvC5EVbJiNNaQHY2ZPzKwP0xQQof0QlB,0,0,30,30,-1
fLdwUBQWjfgw0KtaqsdmUFLJ8MAFH4RIHTjp1hHF,2,0,150,150,-1
