user_id,num_levels_completed,returns,total_time_played,active_time,abtest_value
08jsJhr5nKju34xtk2WD2B7n6NqBMqKTq5dIDg1T,1,0,150,150,-1
0hncf6QyKK3lmcC2MC3k0hwNW61EAB4RWZxQ8c2v,1,0,150,150,2
0IionS7BVEnRWctxJf0ijbnT6egbC6QJSzSoB8CH,1,0,90,90,2
0KoIzz6Tk1Mu0QTB1kEgeBsjuj8DLoQdZFTDf7PW,1,0,120,120,2
0l7NRwJN237Xyy85sioU7dgdcTNXHGkp3zhySGpR,0,2,3150,210,1
0lJYbdqo6G5CejxKiM6HPs41uL6Iu2PVvLUyDQ5H,1,0,840,120,2
0R82rLF2Z2sz44jnFawVo1enMYiJMlp4hDWNkxUQ,2,0,120,120,2
14vJNdqnYWS8ThWJ5oj3Xm5kcIhdSsJNrmGciakM,0,0,30,30,2
1EnVb4JUDMozwxRmWXZ5Hh7dZGFHn5w5fHdMEPyj,1,0,120,120,2
1hL7VD0sXzzz6NeiqkipVDzHzRe75m15bdRkFxL5,1,12,90,90,1
1yjGOIixm4ecdSgdYWDVZqGk8gXiOzpamfjjEX4v,3,1,150,150,1
26nPoG1xKRbewOBs6G7KNBJlKrnbJqOk3wShhYij,2,0,120,120,1
2bcVUwKbYgibZlaYHbsuFe748o1pF4YwcdPo8wZD,0,0,30,30,2
2BHE4x2qpYxygklJMnkblVoFeNdJORwQNu0aYumO,0,0,30,30,1
36Acim58bv1ZPdsRDznPDthePcpHDt8kUSXnSssa,0,1,0,0,2
3AoyIKipg6ASIgeshfTbEVDa1atDdXGbqO6pSikk,3,0,2970,270,2
3Bb03Vcm4NjISxQ8EAx33481U4PfuVDXx7XdrdfV,10,4,1680,1530,-1
3hNuWmjopFu1dzSiyFFiQP8C4voiqBdAo7QBD6xB,0,2,30,30,-1
3JO5rZi3VJFH47QTvpWTM5WGv8kpaz03z356gdRa,0,0,30,30,-1
3kXf76QWZBITUOCHX3Nr3mlnMEka0BYN6MXPqOzH,1,0,90,90,-1
3LARytpiolgTLE28xNLuWIArhxtNpK70i8vjXv0q,2,0,240,240,2
3wTZWuaXzAOH4410gElvsufyBmRPp77gyb4c2uw7,2,0,120,120,2
4NjZTLRKlvEfmYkKIZjTq5yTRXizxOPMw5PtNeGi,5,0,180,180,-1
5fBknQWEUMQxd2SBlXVMiijPuEVjourvU6V7SjWr,1,0,3000,120,2
